sampling_date,normalized_conc_copies_per_L,pmmv_copies_per_mL_kit_raw,sarscov2_copies_per_mL_kit_raw,rolling_average_new_cases_centered,fig1_label,sars_to_pmmv_ratio
2020-04-22,1117105.9683548938,78425.27531521698,240.0255976013825,14.285714285714285,A1,0.0030605642968627228
2020-04-28,1277460.4389269978,90716.06963435034,317.49641132282,122.0,A1,0.0034998916134986245
2020-05-04,981733.7370760224,63838.083715612025,171.70411094219114,174.85714285714286,A1,0.002689681471441157
2020-05-14,371707.43519498594,82830.56285328802,84.35270157247332,228.57142857142856,A1,0.0010183765347807833
2020-05-18,139031.43212247314,1128346.556491814,429.7962676151178,242.57142857142856,A1,0.00038090803321225527
2020-05-26,251407.88773591747,189330.42620297632,130.40866448172952,226.0,A1,0.0006887887335230615
2020-06-01,92105.59126804573,261946.70429086336,66.10070158746821,167.42857142857142,A1,0.0002523440856658787
2020-06-09,287962.65518038307,377293.28363158647,297.66130338706034,119.28571428571428,A1,0.0007889387813161181
2020-06-17,223605.0115589532,268840.7355432375,164.69626240729616,90.85714285714286,A1,0.0006126164700245294
2020-06-25,57176.00781688412,393481.07950009423,61.63747199258464,103.71428571428572,A1,0.00015664659675858667
2020-06-30,74179.47174292065,468270.1788161386,95.16721780149084,120.28571428571428,A1,0.00020323142943265933
2020-07-14,167417.55345716962,536447.8506801204,246.0569499129392,184.8571428571429,A1,0.0004586782286497798
2020-07-22,214893.9398236287,471638.7348919604,277.67755045031583,224.57142857142856,A1,0.000588750520064736
2020-08-03,165583.71134892912,603702.4816714075,273.8720478512617,221.28571428571428,A1,0.00045365400369569626
2020-08-11,81205.1493635231,1633354.8778938798,363.38856663838783,184.14285714285717,A1,0.00022247986126992632
2020-08-19,92491.36284357408,754943.2630156202,191.3033733312041,173.5714285714286,A1,0.0002534009940919838
2020-08-27,76919.46626945923,624545.9549343878,131.61573017617218,187.7142857142857,A1,0.00021073826375194308
2020-08-31,86637.31104125819,651279.052709601,154.58922154591147,180.57142857142856,A1,0.00023736249600344708
2020-09-08,83657.27557886609,790588.8944803182,181.20140552090703,85.71428571428571,A1,0.00022919801528456464
2020-09-15,70855.15127088387,1049710.7184981978,203.77373082152872,150.85714285714286,A1,0.00019412370211201055
2020-09-24,84017.56943285992,705341.8614711405,162.35920224672387,188.57142857142856,A1,0.00023018512173386278
2020-09-29,87117.1438289243,800096.212135082,190.9646487384917,207.42857142857144,A1,0.00023867710638061451
2020-10-08,89954.42693289535,498821.95656860224,122.9349129991075,224.7142857142857,A1,0.0002464504847476585
2020-10-13,217415.0399147005,432832.6877844315,257.8200988795597,258.7142857142857,A1,0.0005956576436019192
2020-10-22,338329.350683813,496273.53426820575,460.0106920836248,328.57142857142856,A1,0.0009269297279008575
2020-10-27,341651.9908134583,779424.1563325953,729.5666156140584,408.71428571428567,A1,0.0009360328515437213
2020-11-05,415119.5625627864,758165.0083726016,862.2715797973854,740.2857142857142,A1,0.0011373138700350313
2020-11-10,786123.5335348583,637307.418314953,1372.6092044759696,996.4285714285712,A1,0.002153763105574954
2020-11-19,836656.33339614,555201.6790947147,1272.6383592514094,887.7142857142858,A1,0.0022922091325921646
2020-11-24,854573.1233007606,630144.349908346,1475.3545896753494,1203.0,A1,0.002341296228221262
2020-11-25,561383.4897339733,569072.511251756,875.2545541868125,1046.571428571429,A1,0.0015380369581752692
2020-11-26,738981.2159955645,544656.9067968765,1102.7156802332568,1176.857142857143,A1,0.002024606071220725
2020-11-27,734805.3908835192,454564.0950030186,915.1127329049488,1190.428571428571,A1,0.002013165454475395
2020-11-28,672289.3750533803,768994.8902437609,1416.4029977567689,1055.571428571429,A1,0.0018418886987763838
2020-11-29,787608.716078634,450626.3687674982,972.3760431127296,1035.2857142857142,A1,0.0021578320988455725
2020-11-30,672974.3959000147,549810.2335485076,1013.7211226902816,1090.857142857143,A1,0.001843765468219218
2020-12-01,717274.3572775859,599204.0373558489,1177.516961020688,1007.1428571428572,A1,0.001965135225418044
2020-12-02,523578.3383272333,646314.2992746442,927.1127858941052,1174.857142857143,A1,0.0014344612008965296
2020-12-03,842710.4003651047,556474.4801541857,1284.785840996431,1049.7142857142858,A1,0.002308795617438643
2020-12-04,826488.3998664158,683925.8504366224,1548.6487171360047,1057.0,A1,0.0022643517804559338
2020-12-05,698168.9994197757,616862.1786621204,1179.9289042642065,1062.857142857143,A1,0.0019127917792322617
2020-12-06,920706.9746970008,568312.7569988157,1433.5603265153186,1054.2857142857142,A1,0.0025224848621835634
2020-12-07,574881.0384967882,515081.93772849743,811.2625733487578,976.1428571428572,A1,0.001575016543826817
2020-12-15,694920.9212428497,533977.1885364881,1016.6353966587484,580.8571428571429,A1,0.001903892934911917
2020-12-29,329883.52669471194,493395.570746376,445.9262217352459,308.14285714285717,A1,0.0009037904840951012
