County,Year,Total_Population,White Male,White Female,Black Male,Black Female,American Indian Male,American Indian Female,Asian Male,Asian Female,Native Hawaiian Male,Native Hawaiian Female,2+ Race Male,2+ Race Female,Not Hispanic Male,Not Hispanic Female,Hispanic Male,Hispanic Female
Fresno County,2013,51986,20547,21314,1385,1494,650,701,2397,2545,43,55,402,453,15542,16784,9882,9778
Fresno County,2013,43920,17363,18394,1012,1097,495,530,2005,2253,50,28,319,374,13952,15155,7292,7521
Fresno County,2013,33807,13455,14665,678,791,356,334,1405,1622,21,23,204,253,11135,12346,4984,5342
Fresno County,2013,23805,9221,10718,447,552,173,226,960,1132,12,20,154,190,7795,9159,3172,3679
Fresno County,2013,17336,6420,8198,317,403,128,157,677,807,10,20,98,101,5471,6993,2179,2693
Fresno County,2013,13444,4755,6762,175,300,76,97,459,679,6,12,42,81,4011,5919,1502,2012
Fresno County,2013,14575,4432,7976,146,325,76,105,501,854,5,8,56,91,3971,7499,1245,1860
Fresno County,2014,961311,371638,371998,28298,27888,14319,14362,50174,51635,1254,1248,14021,14476,226432,235182,253272,246425
Fresno County,2014,79486,31043,29803,2414,2318,812,860,3867,3679,95,107,2317,2171,14616,14056,25932,24882
Fresno County,2014,79033,30229,28663,2568,2453,1475,1419,4285,4027,106,103,1863,1842,14119,13342,26407,25165
Fresno County,2014,74694,28402,27708,2544,2219,1292,1303,4084,3849,91,94,1561,1547,14163,13499,23811,23221
Fresno County,2014,72507,27790,26697,2502,2308,1302,1199,3906,3772,95,88,1425,1423,14559,13777,22461,21710
Fresno County,2014,78519,29671,28168,2808,2593,1252,1299,4981,4837,149,119,1300,1342,16945,16262,23216,22096
Fresno County,2014,74561,28531,26521,2423,2273,1307,1230,4996,4956,125,117,1024,1058,17174,16845,21232,19310
Fresno County,2014,68287,26415,24973,2000,2026,1170,1158,4166,4268,102,116,945,948,15581,15299,19217,18190
Fresno County,2014,59946,23884,22776,1641,1781,1025,1037,3097,3093,93,86,667,766,13181,12966,17226,16573
Fresno County,2014,56584,22338,21996,1675,1591,935,892,2747,3038,85,77,587,623,13100,13145,15267,15072
Fresno County,2014,55482,22005,21653,1678,1579,852,811,2705,2944,72,84,526,573,13774,14150,14064,13494
Fresno County,2014,57606,22920,23012,1693,1655,825,851,2595,2849,75,81,485,565,16044,16805,12549,12208
Fresno County,2014,52855,20902,21441,1458,1487,691,782,2409,2663,58,62,423,479,15664,16776,10277,10138
Fresno County,2014,45030,17712,18857,1053,1152,518,534,2119,2297,44,28,322,394,14066,15377,7702,7885
Fresno County,2014,35547,14202,15279,706,851,363,355,1511,1757,27,24,218,254,11641,12837,5386,5683
Fresno County,2014,25026,9641,11299,483,565,199,254,1025,1160,12,20,158,210,8152,9559,3366,3949
Fresno County,2014,17898,6699,8380,312,395,133,158,710,881,11,18,100,101,5664,7136,2301,2797
Fresno County,2014,13322,4681,6664,196,316,78,109,467,664,7,14,44,82,3966,5796,1507,2053
Fresno County,2014,14928,4573,8108,144,326,90,111,504,901,7,10,56,98,4023,7555,1351,1999
Fresno County,2015,970442,374239,374903,28609,28215,14383,14415,51109,52628,1293,1247,14466,14935,226799,235548,257300,250795
Fresno County,2015,79576,31139,30066,2386,2232,768,750,3828,3598,95,102,2354,2258,14665,14059,25905,24947
Fresno County,2015,79490,30255,28797,2614,2515,1440,1388,4305,4085,111,105,1969,1906,14174,13476,26520,25320
Fresno County,2015,75161,28612,27808,2478,2206,1334,1328,4126,3876,85,91,1614,1603,13961,13309,24288,23603
Fresno County,2015,72327,27522,26919,2525,2301,1263,1180,3836,3726,100,78,1470,1407,14254,13600,22462,22011
Fresno County,2015,76534,28884,27495,2711,2505,1233,1306,4812,4625,146,120,1328,1369,16014,15398,23100,22022
Fresno County,2015,76985,29308,27341,2536,2400,1278,1264,5204,5214,141,130,1057,1112,17870,17454,21654,20007
Fresno County,2015,68979,26591,24845,2002,2020,1223,1160,4448,4537,108,111,955,979,15832,15435,19495,18217
Fresno County,2015,61794,24487,23401,1716,1879,1034,1048,3240,3290,96,83,718,802,13596,13510,17695,16993
Fresno County,2015,56603,22291,21892,1675,1635,957,894,2822,3081,72,74,597,613,12849,12814,15565,15375
Fresno County,2015,55584,22052,21485,1735,1592,843,826,2777,2984,80,81,514,615,13803,13928,14198,13655
Fresno County,2015,56898,22608,22681,1668,1638,816,818,2588,2860,81,80,501,559,15470,16168,12792,12468
Fresno County,2015,53708,21267,21567,1501,1489,712,843,2492,2748,69,70,441,509,15720,16737,10762,10489
Fresno County,2015,46202,17939,19425,1095,1235,546,563,2180,2395,43,33,338,410,14081,15778,8060,8283
Fresno County,2015,37491,14982,15984,747,920,405,367,1614,1887,31,24,246,284,12234,13441,5791,6025
Fresno County,2015,26103,10098,11749,521,570,224,275,1085,1197,11,18,156,199,8468,9770,3627,4238
Fresno County,2015,18511,6947,8573,349,407,130,178,753,917,9,18,104,126,5868,7326,2424,2893
Fresno County,2015,13207,4589,6605,185,325,83,111,462,694,9,16,48,80,3857,5764,1519,2067
Fresno County,2015,15289,4668,8270,165,346,94,116,537,914,6,13,56,104,4083,7581,1443,2182
Fresno County,2016,977956,376298,377322,28643,28376,14426,14445,52155,53587,1318,1286,14845,15255,226487,235253,261198,255018
Fresno County,2016,78850,30648,29729,2336,2188,836,739,3940,3599,109,107,2388,2231,14548,13880,25709,24713
Fresno County,2016,80279,30668,29408,2636,2487,1299,1240,4186,4040,100,114,2100,2001,14291,13656,26698,25634
Fresno County,2016,76343,29154,28084,2474,2249,1350,1372,4223,3948,90,88,1642,1669,14032,13327,24901,24083
Fresno County,2016,71911,27386,26774,2506,2266,1263,1198,3788,3663,100,83,1486,1398,13879,13298,22650,22084
Fresno County,2016,73552,27853,26620,2591,2372,1195,1261,4480,4302,129,113,1277,1359,15020,14231,22505,21796
Fresno County,2016,79143,29849,28193,2600,2505,1258,1255,5513,5375,143,134,1145,1173,18330,17852,22178,20783
Fresno County,2016,70230,26938,25074,2030,2067,1266,1156,4695,4814,114,116,958,1002,16002,15816,19999,18413
Fresno County,2016,63386,24945,23791,1778,1918,1050,1067,3469,3558,104,95,781,830,14112,13880,18015,17379
Fresno County,2016,56556,22291,21629,1634,1651,951,885,2998,3146,71,69,604,627,12691,12534,15858,15473
Fresno County,2016,55975,22136,21661,1706,1576,876,873,2775,3049,92,79,528,624,13694,13927,14419,13935
Fresno County,2016,55814,22139,22118,1640,1599,777,807,2637,2872,80,82,507,556,14722,15245,13058,12789
Fresno County,2016,54568,21495,21846,1512,1552,735,877,2550,2862,79,75,445,540,15680,16929,11136,10823
Fresno County,2016,46914,18144,19651,1123,1256,597,579,2258,2491,31,36,348,400,14087,15767,8414,8646
Fresno County,2016,39285,15570,16720,786,996,418,430,1725,1987,35,27,267,324,12661,14006,6140,6478
Fresno County,2016,27078,10508,12110,564,590,238,271,1131,1292,13,15,157,189,8702,10011,3909,4456
Fresno County,2016,19014,7053,8852,360,425,132,184,757,960,11,20,108,152,5942,7527,2479,3066
Fresno County,2016,13374,4734,6581,198,318,87,116,494,687,7,19,52,81,3987,5709,1585,2093
Fresno County,2016,15684,4787,8481,169,361,98,135,536,942,10,14,52,99,4107,7658,1545,2374
Fresno County,2017,986542,378745,379726,28946,28480,14600,14628,53149,54701,1371,1312,15211,15673,227113,235577,264909,258943
Fresno County,2017,77974,30006,29312,2355,2156,969,833,3928,3591,121,112,2376,2215,14297,13622,25458,24597
Fresno County,2017,80696,31069,29722,2576,2465,1117,1148,4139,3976,91,107,2189,2097,14514,13902,26667,25613
Fresno County,2017,78070,29899,28513,2565,2288,1415,1354,4278,4061,92,92,1729,1784,14210,13415,25768,24677
Fresno County,2017,71427,27237,26638,2460,2207,1242,1212,3795,3571,105,89,1459,1412,13607,13017,22691,22112
Fresno County,2017,71710,27065,26122,2536,2291,1187,1261,4255,4154,116,95,1303,1325,14277,13670,22185,21578
Fresno County,2017,80635,30199,28595,2693,2567,1280,1278,5695,5572,161,156,1208,1231,18589,17917,22647,21482
Fresno County,2017,71073,27206,25252,2107,2020,1250,1162,4873,4990,120,108,962,1023,16210,16004,20308,18551
Fresno County,2017,65338,25427,24246,1818,1978,1100,1111,3802,3888,112,107,852,897,14719,14420,18392,17807
Fresno County,2017,57420,22618,21853,1673,1671,970,917,3081,3218,78,66,618,657,12822,12561,16216,15821
Fresno County,2017,56050,22105,21650,1636,1613,888,888,2791,3124,100,83,542,630,13461,13768,14601,14220
Fresno County,2017,55134,21772,21703,1654,1553,804,795,2716,2909,75,81,511,561,14294,14640,13238,12962
Fresno County,2017,54828,21533,21973,1535,1573,744,857,2553,2915,85,77,438,545,15529,16898,11359,11042
Fresno County,2017,47951,18662,19916,1166,1315,592,609,2312,2551,27,41,355,405,14322,15784,8792,9053
Fresno County,2017,39831,15530,16881,842,1013,451,472,1871,2089,41,25,277,339,12493,13963,6519,6856
Fresno County,2017,29180,11357,13021,573,638,273,292,1185,1420,17,15,171,218,9360,10888,4216,4716
Fresno County,2017,19741,7326,9169,373,445,125,186,807,1006,11,27,107,159,6169,7763,2580,3229
Fresno County,2017,13686,4923,6665,216,329,94,109,502,687,9,15,62,75,4125,5730,1681,2150
Fresno County,2017,15798,4811,8495,168,358,99,144,566,979,10,16,52,100,4115,7615,1591,2477
Fresno County,2018,994400,380804,381879,29128,28711,14791,14745,54195,55656,1401,1338,15697,16055,227396,235327,268620,263057
Fresno County,2018,77299,29626,28770,2336,2148,1115,978,3908,3547,117,122,2413,2219,14178,13270,25337,24514
Fresno County,2018,80577,31061,29957,2518,2403,964,980,4085,3925,97,92,2307,2188,14562,14084,26470,25461
Fresno County,2018,79551,30441,28880,2632,2367,1476,1381,4371,4128,99,104,1851,1821,14418,13443,26452,25238
Fresno County,2018,71727,27271,26741,2464,2199,1228,1229,3820,3617,102,93,1494,1469,13397,12814,22982,22534
Fresno County,2018,70764,26752,25936,2479,2239,1206,1218,4067,4038,101,87,1342,1299,13854,13265,22093,21552
Fresno County,2018,80417,29996,28612,2697,2572,1278,1274,5711,5490,162,146,1212,1267,18150,17415,22906,21946
Fresno County,2018,72036,27455,25441,2170,2033,1277,1165,5090,5166,121,114,952,1052,16561,16254,20504,18717
Fresno County,2018,67102,25850,24639,1912,2037,1107,1120,4151,4235,110,112,911,918,15260,14914,18781,18147
Fresno County,2018,58541,23082,22150,1688,1699,998,954,3167,3271,92,70,630,740,13005,12666,16652,16218
Fresno County,2018,55843,21896,21576,1608,1584,895,884,2842,3162,104,80,573,639,13219,13457,14699,14468
Fresno County,2018,54618,21545,21304,1624,1568,807,792,2799,2956,73,86,507,557,13861,14164,13494,13099
Fresno County,2018,54997,21513,22067,1559,1593,723,831,2587,2990,86,74,442,532,15333,16684,11577,11403
Fresno County,2018,48815,18931,20144,1190,1383,629,684,2376,2584,44,53,367,430,14343,15882,9194,9396
Fresno County,2018,40669,15789,17179,889,1005,453,496,1940,2217,43,25,284,349,12547,14104,6851,7167
Fresno County,2018,30698,11889,13560,589,721,306,309,1323,1548,19,22,178,234,9785,11354,4519,5040
Fresno County,2018,20902,7841,9697,377,472,136,183,821,1062,10,24,116,163,6560,8210,2741,3391
Fresno County,2018,14028,5019,6802,224,318,94,123,570,702,12,18,66,80,4233,5792,1752,2251
Fresno County,2018,15816,4847,8424,172,370,99,144,567,1018,9,16,52,98,4130,7555,1616,2515
Glenn County,2013,27826,12653,12413,197,125,434,413,388,413,24,25,361,380,8345,8513,5712,5256
Glenn County,2013,2027,936,879,11,15,36,28,26,22,3,0,35,36,441,420,606,560
Glenn County,2013,2105,953,879,18,16,43,37,37,25,2,4,44,47,509,475,588,533
Glenn County,2013,2062,937,883,10,14,48,25,32,28,1,0,43,41,514,491,557,500
Glenn County,2013,2086,952,879,18,11,44,43,27,31,3,3,39,36,512,479,571,524
Glenn County,2013,1801,827,761,17,8,31,27,39,31,5,2,23,30,461,415,481,444
Glenn County,2013,1737,799,738,17,9,28,24,30,31,1,2,37,21,486,428,426,397
Glenn County,2013,1727,778,759,17,8,26,37,33,26,2,0,23,18,449,469,430,379
Glenn County,2013,1610,712,743,17,3,24,25,19,22,0,1,18,26,419,440,371,380
Glenn County,2013,1577,728,705,12,8,17,29,16,22,1,0,17,22,439,440,352,346
Glenn County,2013,1665,741,760,11,7,25,23,23,31,1,1,18,24,487,543,332,303
Glenn County,2013,1917,881,838,15,6,28,26,21,60,1,3,16,22,652,712,310,243
Glenn County,2013,1898,868,865,12,9,23,25,41,20,1,1,16,17,736,724,225,213
Glenn County,2013,1584,753,714,8,4,21,25,9,25,0,3,13,9,625,643,179,137
Glenn County,2013,1216,586,548,3,3,21,9,12,13,2,1,5,13,533,490,96,97
Glenn County,2013,1014,461,489,4,1,12,10,13,7,0,1,7,9,419,441,78,76
Glenn County,2013,711,315,358,5,1,5,8,5,7,0,0,4,3,282,318,52,59
Glenn County,2013,546,229,291,1,2,1,8,2,4,1,2,2,3,206,274,30,36
Glenn County,2013,543,197,324,1,0,1,4,3,8,0,1,1,3,175,311,28,29
Glenn County,2014,27857,12644,12415,200,138,428,409,394,419,25,25,370,390,8238,8449,5823,5347
Glenn County,2014,2006,954,834,12,16,42,24,20,19,3,0,36,46,468,409,599,530
Glenn County,2014,2172,973,914,14,21,41,36,37,30,2,3,51,50,493,485,625,569
Glenn County,2014,2014,902,886,11,15,35,25,33,32,1,1,39,34,483,467,538,526
Glenn County,2014,2102,952,895,16,11,45,38,28,28,3,2,41,43,497,477,588,540
Glenn County,2014,1771,805,754,20,11,31,33,31,32,5,2,26,21,428,418,490,435
Glenn County,2014,1790,805,777,18,9,30,25,34,25,2,3,34,28,490,452,433,415
Glenn County,2014,1734,791,748,19,8,25,36,29,34,2,1,23,18,453,463,436,382
Glenn County,2014,1623,730,729,17,7,22,26,24,19,0,1,20,28,433,445,380,365
Glenn County,2014,1560,699,720,14,9,18,30,14,16,1,0,18,21,426,436,338,360
Glenn County,2014,1570,732,681,10,7,21,18,24,36,1,1,16,23,460,481,344,285
Glenn County,2014,1918,858,861,15,5,26,29,22,63,1,3,16,19,620,714,318,266
Glenn County,2014,1866,839,847,9,7,28,23,51,24,1,1,15,21,709,706,234,217
Glenn County,2014,1631,791,728,9,3,19,25,7,22,0,2,15,10,644,641,197,149
Glenn County,2014,1258,587,579,5,5,20,12,14,17,0,2,6,11,527,524,105,102
Glenn County,2014,1032,477,485,4,1,17,10,14,7,2,0,7,8,439,435,82,76
Glenn County,2014,742,325,379,5,1,6,6,6,6,0,0,4,4,288,334,58,62
Glenn County,2014,537,228,286,1,2,1,8,1,3,1,1,2,3,204,265,30,38
Glenn County,2014,531,196,312,1,0,1,5,5,6,0,2,1,2,176,297,28,30
Glenn County,2015,27776,12577,12368,206,150,424,407,403,418,25,26,373,399,8105,8361,5903,5407
Glenn County,2015,1968,934,821,8,11,40,20,18,27,2,0,39,48,454,421,587,506
Glenn County,2015,2146,965,905,17,20,32,34,36,31,2,3,48,53,482,475,618,571
Glenn County,2015,2048,892,917,14,20,30,28,37,32,2,1,40,35,472,475,543,558
Glenn County,2015,2038,930,874,19,17,40,33,23,21,3,1,38,39,464,471,589,514
Glenn County,2015,1835,843,763,16,9,37,35,35,32,4,4,30,27,442,401,523,469
Glenn County,2015,1743,786,749,19,12,33,32,31,26,3,2,25,25,463,445,434,401
Glenn County,2015,1744,803,742,20,10,28,36,31,26,2,1,29,16,468,439,445,392
Glenn County,2015,1649,726,753,18,7,23,23,22,24,0,1,22,30,425,471,386,367
Glenn County,2015,1536,686,714,14,8,18,25,16,15,1,0,19,20,426,422,328,360
Glenn County,2015,1543,722,672,11,6,20,22,24,26,1,1,13,25,433,470,358,282
Glenn County,2015,1828,825,809,13,4,25,25,20,63,1,4,19,20,584,653,319,272
Glenn County,2015,1867,828,847,8,11,27,25,58,31,1,1,14,16,695,707,241,224
Glenn County,2015,1675,795,751,10,5,21,26,12,22,0,2,14,17,647,647,205,176
Glenn County,2015,1314,621,601,7,5,20,13,13,17,0,2,8,7,550,547,119,98
Glenn County,2015,1033,479,478,3,2,17,12,12,10,2,0,7,11,435,429,85,84
Glenn County,2015,753,324,384,7,1,9,7,9,4,0,0,4,4,293,338,60,62
Glenn County,2015,527,226,276,0,2,3,5,2,5,1,1,2,4,200,254,34,39
Glenn County,2015,529,192,312,2,0,1,6,4,6,0,2,2,2,172,296,29,32
Glenn County,2016,27851,12630,12317,215,147,436,433,415,416,25,24,394,399,8091,8232,6024,5504
Glenn County,2016,1974,902,842,10,10,43,23,20,23,2,0,49,50,443,408,583,540
Glenn County,2016,2122,1000,861,12,18,31,34,38,30,2,2,44,50,477,437,650,558
Glenn County,2016,2034,892,894,17,19,33,34,39,28,2,2,35,39,459,475,559,541
Glenn County,2016,2036,929,870,18,14,40,31,24,22,3,2,45,38,464,462,595,515
Glenn County,2016,1844,833,782,17,10,41,44,27,20,2,2,34,32,431,400,523,490
Glenn County,2016,1792,817,764,20,12,34,26,30,34,5,2,27,21,486,437,447,422
Glenn County,2016,1704,781,714,23,12,25,40,31,27,2,1,28,20,460,431,430,383
Glenn County,2016,1684,737,755,20,8,22,30,30,22,0,1,29,30,442,463,396,383
Glenn County,2016,1510,684,694,18,7,19,26,15,13,0,0,14,20,406,412,344,348
Glenn County,2016,1536,721,680,11,7,16,23,20,25,1,1,14,17,439,444,344,309
Glenn County,2016,1767,797,774,13,3,25,28,24,59,1,3,17,23,546,617,331,273
Glenn County,2016,1838,822,809,9,11,25,23,58,43,2,0,18,18,674,679,260,225
Glenn County,2016,1735,811,782,10,4,30,24,21,24,0,2,14,13,668,667,218,182
Glenn County,2016,1404,660,643,7,7,18,18,11,21,0,3,9,7,579,592,126,107
Glenn County,2016,1028,478,482,2,1,17,9,9,10,2,0,8,10,433,422,83,90
Glenn County,2016,786,354,380,7,1,11,8,11,4,0,0,5,5,323,338,65,60
Glenn County,2016,523,221,276,0,2,5,4,3,5,1,0,2,4,196,247,36,44
Glenn County,2016,534,191,315,1,1,1,8,4,6,0,3,2,2,165,301,34,34
Glenn County,2017,27956,12650,12322,217,149,439,444,431,429,27,23,408,417,8059,8243,6113,5541
Glenn County,2017,2009,920,838,12,12,45,28,21,27,0,0,53,53,450,438,601,520
Glenn County,2017,2095,968,872,10,15,35,32,35,28,3,1,46,50,491,425,606,573
Glenn County,2017,2086,923,888,19,24,39,34,36,28,3,3,45,44,466,480,599,541
Glenn County,2017,1969,895,855,14,13,36,25,25,22,2,1,46,35,427,435,591,516
Glenn County,2017,1804,824,754,22,11,30,49,24,18,2,2,34,34,431,399,505,469
Glenn County,2017,1873,857,789,21,11,34,31,42,35,6,2,22,23,485,472,497,419
Glenn County,2017,1669,775,699,18,9,26,32,29,28,3,1,25,24,455,431,421,362
Glenn County,2017,1742,776,761,23,10,23,38,27,24,1,1,29,29,458,466,421,397
Glenn County,2017,1534,676,717,17,5,21,23,23,17,0,0,15,20,402,424,350,358
Glenn County,2017,1509,706,663,11,9,20,24,17,24,1,1,15,18,430,415,340,324
Glenn County,2017,1705,756,758,11,3,23,28,24,56,1,1,20,24,501,596,334,274
Glenn County,2017,1858,846,792,8,10,31,21,60,50,1,2,17,20,690,661,273,234
Glenn County,2017,1742,785,806,14,4,24,25,31,24,1,2,14,12,652,678,217,195
Glenn County,2017,1409,660,642,7,5,17,22,11,25,0,3,10,7,572,588,133,116
Glenn County,2017,1076,505,501,1,3,18,10,9,11,2,0,6,10,462,441,79,94
Glenn County,2017,809,361,389,6,1,13,9,11,5,0,0,7,7,326,350,72,61
Glenn County,2017,546,229,291,2,2,4,4,4,5,0,0,1,4,200,258,40,48
Glenn County,2017,521,188,307,1,2,0,9,2,2,1,3,3,3,161,286,34,40
Glenn County,2018,28047,12668,12335,228,154,455,431,441,429,28,23,415,440,8024,8161,6211,5651
Glenn County,2018,1995,908,837,14,15,42,22,23,28,0,0,56,50,457,434,586,518
Glenn County,2018,2099,974,867,13,13,42,35,32,24,3,0,40,56,469,417,635,578
Glenn County,2018,2156,959,919,18,20,34,33,40,30,3,4,49,47,492,490,611,563
Glenn County,2018,1922,875,817,12,19,40,19,25,22,2,0,49,42,432,403,571,516
Glenn County,2018,1806,824,775,24,10,32,34,23,17,3,3,27,34,403,388,530,485
Glenn County,2018,1874,860,772,21,10,38,38,38,34,5,1,28,29,485,469,505,415
Glenn County,2018,1747,798,750,18,11,31,31,31,24,3,2,25,23,467,442,439,399
Glenn County,2018,1729,771,756,26,11,20,35,30,25,2,0,29,24,449,462,429,389
Glenn County,2018,1521,673,702,19,3,23,23,20,15,0,1,17,25,408,422,344,347
Glenn County,2018,1531,710,670,13,9,20,29,17,24,1,0,17,21,432,422,346,331
Glenn County,2018,1617,719,724,9,5,21,23,22,48,1,1,20,24,462,533,330,292
Glenn County,2018,1852,824,790,9,9,32,27,60,65,1,3,16,16,656,665,286,245
Glenn County,2018,1745,784,804,13,6,23,22,43,20,1,1,12,16,661,678,215,191
Glenn County,2018,1424,670,639,8,4,21,28,7,24,0,3,13,7,564,580,155,125
Glenn County,2018,1108,527,506,1,3,18,9,12,15,2,1,3,11,479,452,84,93
Glenn County,2018,836,368,407,6,1,13,9,12,6,0,0,8,6,341,364,66,65
Glenn County,2018,540,225,282,3,1,5,5,5,6,0,0,3,5,196,244,45,55
Glenn County,2018,545,199,318,1,4,0,9,1,2,1,3,3,4,171,296,34,44
Humboldt County,2013,134407,56713,56570,1028,684,4186,4309,1636,1843,211,206,3391,3630,60032,60358,7133,6884
Humboldt County,2013,7383,2764,2739,53,49,420,368,104,93,18,23,392,360,3019,2937,732,695
Humboldt County,2013,7492,2870,2719,38,41,385,392,131,131,21,26,381,357,3090,3010,736,656
Humboldt County,2013,7059,2705,2666,42,30,365,326,120,135,11,9,336,314,2971,2904,608,576
Humboldt County,2013,9107,3556,3438,100,99,362,359,155,190,11,8,402,427,3860,3788,726,733
Humboldt County,2013,13241,5107,5409,182,136,448,430,277,240,16,35,464,497,5646,5780,848,967
Humboldt County,2013,8716,3806,3377,110,58,306,250,125,174,28,22,224,236,3953,3503,646,614
Humboldt County,2013,9764,4341,3886,89,52,309,335,128,125,22,22,220,235,4559,4097,550,558
Humboldt County,2013,8344,3833,3288,73,47,270,240,111,103,23,13,157,186,3945,3430,522,447
Humboldt County,2013,7492,3408,2962,80,25,239,232,100,121,17,5,144,159,3578,3165,410,339
Humboldt County,2013,7222,3187,3049,42,23,199,222,75,114,12,8,128,163,3340,3296,303,283
Humboldt County,2013,9040,3933,3967,67,34,210,269,97,115,13,9,144,182,4183,4275,281,301
Humboldt County,2013,9865,4323,4552,57,34,193,280,56,74,5,9,127,155,4500,4848,261,256
Humboldt County,2013,9845,4415,4644,33,18,185,204,53,61,2,6,94,130,4580,4872,202,191
Humboldt County,2013,7141,3323,3253,20,15,111,140,34,63,4,3,83,92,3468,3479,107,87
Humboldt County,2013,4573,2051,2137,20,11,66,103,30,38,2,4,53,58,2141,2286,81,65
Humboldt County,2013,3083,1312,1536,10,4,57,69,19,23,1,0,19,33,1364,1612,54,53
Humboldt County,2013,2342,878,1305,4,3,38,44,7,21,1,2,13,26,909,1371,32,30
Humboldt County,2013,2698,901,1643,8,5,23,46,14,22,4,2,10,20,926,1705,34,33
Humboldt County,2014,134514,56635,56484,1023,711,4198,4349,1745,1905,206,195,3410,3653,59867,60252,7350,7045
Humboldt County,2014,7402,2791,2724,52,52,418,379,115,96,17,16,378,364,3040,2936,731,695
Humboldt County,2014,7442,2887,2672,49,40,372,381,130,132,18,23,389,349,3085,2934,760,663
Humboldt County,2014,7050,2684,2667,33,37,363,339,141,154,12,16,304,300,2938,2929,599,584
Humboldt County,2014,8939,3483,3376,96,87,336,355,173,182,10,7,399,435,3766,3694,731,748
Humboldt County,2014,13401,5137,5416,168,143,496,460,278,243,11,28,524,497,5724,5800,890,987
Humboldt County,2014,8727,3818,3354,120,72,304,222,132,185,31,21,211,257,3886,3493,730,618
Humboldt County,2014,9542,4199,3823,85,42,275,332,147,142,24,18,218,237,4395,4033,553,561
Humboldt County,2014,8471,3832,3383,73,53,273,246,111,99,22,15,167,197,3976,3524,502,469
Humboldt County,2014,7643,3424,3064,84,31,252,247,106,115,14,7,151,148,3591,3222,440,390
Humboldt County,2014,6999,3118,2896,43,24,205,225,88,123,15,6,111,145,3285,3142,295,277
Humboldt County,2014,8710,3807,3776,62,31,209,259,90,117,10,8,153,188,4034,4088,297,291
Humboldt County,2014,9591,4176,4409,56,36,196,273,63,80,8,11,124,159,4356,4704,267,264
Humboldt County,2014,9828,4373,4645,40,23,190,214,54,59,2,5,94,129,4536,4870,217,205
Humboldt County,2014,7806,3588,3612,20,16,119,147,45,64,4,3,83,105,3723,3842,136,105
Humboldt County,2014,4770,2134,2243,18,12,70,105,27,44,1,7,51,58,2235,2401,66,68
Humboldt County,2014,3184,1374,1559,12,5,54,67,22,27,2,0,26,36,1431,1639,59,55
Humboldt County,2014,2272,856,1250,5,4,37,47,9,21,0,0,17,26,884,1318,40,30
Humboldt County,2014,2737,954,1615,7,3,29,51,14,22,5,4,10,23,982,1683,37,35
Humboldt County,2015,135114,56617,56599,1075,739,4241,4427,1767,1929,219,208,3528,3765,59898,60370,7549,7297
Humboldt County,2015,7479,2844,2655,64,61,422,402,111,98,21,20,399,382,3120,2903,741,715
Humboldt County,2015,7395,2839,2687,49,41,362,380,131,112,18,23,400,353,3034,2901,765,695
Humboldt County,2015,7159,2757,2656,38,33,372,349,137,151,19,19,324,304,2984,2929,663,583
Humboldt County,2015,8844,3409,3360,93,90,341,342,178,182,9,8,385,447,3684,3659,731,770
Humboldt County,2015,13276,5059,5323,170,142,487,487,282,223,15,25,571,492,5686,5714,898,978
Humboldt County,2015,8884,3770,3444,133,86,322,218,134,223,25,24,213,292,3849,3589,748,698
Humboldt County,2015,9273,4003,3720,100,43,291,306,147,152,20,21,229,241,4232,3908,558,575
Humboldt County,2015,8778,3937,3542,83,50,279,268,113,93,24,15,168,206,4074,3686,530,488
Humboldt County,2015,7731,3493,3057,74,34,259,259,109,113,19,7,159,148,3659,3210,454,408
Humboldt County,2015,6968,3135,2815,52,23,207,216,93,134,12,6,122,153,3310,3063,311,284
Humboldt County,2015,8277,3629,3582,52,23,209,254,79,113,12,7,138,179,3823,3875,296,283
Humboldt County,2015,9478,4072,4352,58,39,191,276,72,94,9,12,134,169,4267,4666,269,276
Humboldt County,2015,9749,4286,4652,38,32,171,230,58,59,1,6,87,129,4415,4893,226,215
Humboldt County,2015,8459,3878,3918,23,16,134,154,54,65,6,3,94,114,4032,4140,157,130
Humboldt County,2015,5047,2244,2403,18,12,75,106,21,45,2,7,51,63,2349,2567,62,69
Humboldt County,2015,3347,1458,1629,15,6,51,72,23,29,2,1,23,38,1514,1713,58,62
Humboldt County,2015,2247,879,1192,6,3,38,50,11,22,0,0,18,28,913,1262,39,33
Humboldt County,2015,2723,925,1612,9,5,30,58,14,21,5,4,13,27,953,1692,43,35
Humboldt County,2016,136314,56961,57017,1102,752,4285,4488,1833,1993,234,215,3609,3825,60171,60667,7853,7623
Humboldt County,2016,7464,2879,2651,68,58,392,397,122,88,23,20,395,371,3125,2866,754,719
Humboldt County,2016,7421,2798,2702,48,48,380,380,130,122,19,27,409,358,3020,2915,764,722
Humboldt County,2016,7249,2783,2658,44,34,379,376,152,147,21,21,322,312,3002,2939,699,609
Humboldt County,2016,9015,3474,3451,93,91,349,347,173,189,10,7,389,442,3714,3693,774,834
Humboldt County,2016,13040,4958,5206,154,134,473,485,287,221,18,20,559,525,5559,5586,890,1005
Humboldt County,2016,9295,3870,3599,138,84,343,220,169,256,25,30,253,308,3954,3766,844,731
Humboldt County,2016,9032,3893,3608,110,50,297,301,130,145,24,22,238,214,4098,3759,594,581
