OPEID,College,City,State,Zip,yrs
86,128401,SANTIAGO CANYON COLLEGE,ORANGE,CA,92869,2
87,128500,SANTA BARBARA CITY COLLEG,SANTA BARBR,CA,93109,2
88,128600,SANTA MONICA COLLEGE,SNTA MONICA,CA,90405,2
89,128700,SANTA ROSA JR COLLEGE,SANTA ROSA,CA,95401,2
90,128900,SHASTA COLLEGE,REDDING,CA,96049,2
91,129000,SIERRA COLLEGE,ROCKLIN,CA,95677,2
92,129200,SOLANO CMTY COLLEGE,SUISUN CITY,CA,94585,2
93,129400,SOUTHWSTRN COLLEGE CA,CHULA VISTA,CA,92010,2
94,130700,FRESNO CITY COLLEGE,FRESNO,CA,93741,2
95,130800,REEDLEY COLLEGE,REEDLEY,CA,93654,2
96,130900,TAFT COLLEGE,TAFT,CA,93268,2
97,131200,UNIV CALIF BERKELEY,BERKELEY,CA,94720,4
98,131300,UNIV CALIF DAVIS,DAVIS,CA,95616,4
99,131400,UNIV CALIF IRVINE,IRVINE,CA,92697,4
100,131500,UNIV CALIF LOS ANGELES,LOS ANGELES,CA,90095,4
101,131600,UNIV CALIF RIVERSIDE,RIVERSIDE,CA,92521,4
102,131700,UNIV CALIF SAN DIEGO,LA JOLLA,CA,92093,4
103,131900,UNIV CALIF SAN FRANCISCO,SN FRNCSCO,CA,94143,4
104,132000,UNIV CALIF SANTA BARBARA,SANTA BARBR,CA,93106,4
105,132100,UNIV CALIF SANTA CRUZ,SANTA CRUZ,CA,95064,4
106,133400,VENTURA COLLEGE,VENTURA,CA,93003,2
107,133500,VICTOR VALLEY COLLEGE,VICTORVILLE,CA,92392,2
108,133800,WEST VALLEY COLLEGE,SARATOGA,CA,95070,2
109,134400,YUBA COLLEGE,MARYSVILLE,CA,95901,2
