Year,County,Infection_Count,Total_Population,Infec_Div_Pop
2013,Alameda,18.0,3160494,0.5695312188537615
2013,Amador,0.0,73250,0.0
2013,Butte,5.0,443328,1.127833116789375
2013,Calaveras,0.0,89320,0.0
2013,Colusa,0.0,42530,0.0
2013,Contra Costa,14.0,2187516,0.6399953188913818
2013,Del Norte,0.0,55634,0.0
2013,El Dorado,0.0,362994,0.0
2013,Fresno,31.0,1904058,1.6281016649702895
2013,Glenn,0.0,55652,0.0
2013,Humboldt,3.0,268814,1.1160133028785704
2013,Imperial,1.0,353210,0.2831176920245746
2013,Inyo,0.0,36720,0.0
2013,Kern,13.0,1725114,0.7535733870341322
2013,Kings,1.0,300832,0.3324114455908946
2013,Lake,0.0,127618,0.0
2013,Lassen,0.0,64252,0.0
2013,Los Angeles,227.0,19996210,1.135215123265859
2013,Madera,3.0,302940,0.9902951079421667
2013,Marin,0.0,516906,0.0
2013,Mariposa,0.0,35616,0.0
2013,Mendocino,0.0,174154,0.0
2013,Merced,3.0,524396,0.5720867436059771
2013,Modoc,0.0,18298,0.0
2013,Mono,0.0,28148,0.0
2013,Monterey,0.0,854108,0.0
2013,Napa,2.0,279412,0.7157888709146351
2013,Nevada,1.0,195904,0.5104540999673309
2013,Orange,43.0,6216018,0.6917611885937268
2013,Placer,4.0,730890,0.5472779761660441
2013,Plumas,0.0,37790,0.0
2013,Riverside,36.0,4576086,0.7866985017327035
2013,Sacramento,39.0,2915500,1.3376779283141829
2013,San Benito,0.0,114534,0.0
2013,San Bernardino,53.0,4167742,1.271671806940065
2013,San Diego,54.0,6422496,0.8407946069565478
2013,San Francisco,27.0,1679682,1.6074471239198849
2013,San Joaquin,8.0,1404774,0.5694866220473899
2013,San Luis Obispo,3.0,551502,0.5439690155248758
2013,San Mateo,1.0,1498026,0.06675451560920839
2013,Santa Barbara,2.0,869646,0.22997863498480992
2013,Santa Clara,36.0,3734604,0.9639576244228304
2013,Santa Cruz,2.0,537880,0.3718301479883989
2013,Shasta,8.0,356802,2.2421398983189555
2013,Siskiyou,0.0,87064,0.0
2013,Solano,5.0,847498,0.5899718937389823
2013,Sonoma,9.0,988486,0.9104833047711348
2013,Stanislaus,13.0,1047444,1.2411164701883823
2013,Sutter,0.0,189090,0.0
2013,Tehama,0.0,125796,0.0
2013,Trinity,0.0,26854,0.0
