name,year,denom_total_hh,Median Household Income
University Park,2021,6343,30822
Hollywood Hills West,2021,8633,166275
Unincorporated Santa Monica Mountains,2021,7912,191903
West Los Angeles,2021,6766,121335
Hancock Park,2021,5518,124077
Canoga Park,2021,21728,72922
Chesterfield Square,2021,2688,74444
Hidden Hills,2021,546,281089
Norwalk,2021,26831,94655
North El Monte,2021,789,91354
Monterey Park,2021,21600,79990
Hollywood,2021,44816,63201
Fairfax,2021,7177,123009
Glassell Park,2021,8424,89169
Watts,2021,10855,42762
La Verne,2021,11907,105657
Rancho Palos Verdes,2021,16321,181023
Green Meadows,2021,9026,58475
Del Aire,2021,2892,134462
Vermont Knolls,2021,7184,49641
Castaic,2021,3352,156629
Westwood,2021,20504,93153
Venice,2021,19613,138918
South Diamond Bar,2021,1313,128505
Universal City,2021,,
Pacific Palisades,2021,9679,218408
Bel-Air,2021,3095,216354
East Pasadena,2021,2101,105291
Cudahy,2021,5779,52973
Palos Verdes Estates,2021,5246,223003
Ladera Heights,2021,2928,126234
Walnut Park,2021,3848,79069
La Crescenta-Montrose,2021,7375,120831
Gardena,2021,21705,78493
Duarte,2021,7515,98368
La Mirada,2021,13447,110849
Maywood,2021,6389,59219
Alondra Park,2021,2812,95903
Beverly Grove,2021,13493,116551
Vermont Vista,2021,7808,53100
Lawndale,2021,10162,83663
Hyde Park,2021,15026,60552
Lomita,2021,8175,102447
South Pasadena,2021,11050,143038
Westmont,2021,11115,52385
San Pasqual,2021,907,146447
West Hollywood,2021,25656,87486
Artesia,2021,4599,95414
Manhattan Beach,2021,14957,199200
West Carson,2021,8332,95198
Hermosa Beach,2021,10143,163354
Carthay,2021,2379,131206
Beverly Hills,2021,17059,123437
El Segundo,2021,7416,138862
View Park-Windsor Hills,2021,5048,110229
Sierra Madre,2021,5523,122010
Gramercy Park,2021,4191,83699
Aggregated,2021,3557648,94439
