Total Population,California County,Longitude,Latitude,PM2.5,Cleanup Sites,Haz. Waste,Pollution Burden,Asthma,Cardiovascular Disease,Traffic
1963,Riverside ,-117.3560514,33.9857419,12.37134098,21.5,0.93,67.0159555112141,60.49,17.44,1566.079784
6558,Los Angeles,-118.4782103,34.2102531,12.29587676,59.3,2.36,68.4528260225551,77.98,19.65,2892.070994
6793,Madera ,-120.0616242,36.9597277,12.69298206,13.0,0.645,64.5511728014637,90.04,29.26,1115.703732
7273,Los Angeles,-118.1922187,33.8676075,12.50092519,9.0,0.97,65.7728235433982,94.42,20.48,1663.949239
4320,Los Angeles,-118.1852919,33.9599735,12.06526369,88.2,2.27,69.8823567227262,43.15,18.75,677.1907416
3099,Los Angeles,-118.2549079,33.7780161,11.73680492,46.95,3.305,69.0982975285336,76.33,21.61,632.7478884
2458,Los Angeles,-118.2631029,33.9783876,12.14625901,68.15,0.445,65.0134949864476,113.45,27.79,1230.505058
5342,Fresno ,-119.7499923,36.732259,13.88830162,5.5,0.3,59.4677908882646,118.84,20.72,685.4053619
3400,Los Angeles,-118.1986552,33.8685443,12.78098946,7.95,1.135,69.8446907803487,88.49,19.32,4072.827967
4334,Los Angeles,-118.2750006,33.962202,12.116733,6.7,0.225,60.3525763919048,113.88,27.88,3032.755893
2109,Los Angeles,-118.2282398,33.9326754,12.0701055,54.5,1.555,66.5863060897336,122.71,25.25,2623.566956
3132,Los Angeles,-118.2839528,33.7476138,11.70137136,8.0,2.695,63.6462602334553,103.61,14.57,856.100235
3720,Los Angeles,-118.1755664,33.9593595,12.03778507,56.35,3.925,67.3982679338141,46.98,20.41,661.0383819
6299,San Joaquin,-121.2688218,37.885527,10.81852036,22.2,1.03,71.8233841390139,77.16,20.74,913.4255036
3872,Los Angeles,-118.4548516,34.2188235,11.81424877,41.6,2.62,61.5787892007287,93.94,20.82,1444.132983
3039,Los Angeles,-118.0321896,34.0402202,12.03688662,6.25,0.405,72.1690238302,65.92,16.69,1963.851443
2759,Fresno ,-119.804301,36.7104697,13.65016787,9.2,0.27,62.1168373194931,139.35,22.68,364.259288
7637,Fresno ,-119.6279131,36.5629769,13.76768283,15.0,0.86,67.9381216854797,126.72,19.22,795.7905056
3904,Los Angeles,-118.2142985,34.0245059,12.25398221,12.75,9.81,67.5507616787671,76.1,20.87,752.2054963
3457,Los Angeles,-118.3919739,34.2044832,11.52566258,38.75,0.93,61.7284884193342,79.39,21.48,1034.494912
4013,Los Angeles,-118.1526793,33.9862905,12.14921007,63.3,2.615,77.2872559347438,50.87,17.86,2366.91483
3542,Riverside ,-117.2825158,33.9293086,11.64985388,21.0,0.36,63.4229743620502,60.19,19.2,1831.235988
